ZIP,Count
90000,4
90001,3046
90002,915
90003,36
90004,4
90005,2
90006,4
90007,76
90008,58
90009,2
90010,3
90011,38
90012,11951
90013,14
90014,7
90015,148
90016,9
90017,7
90018,2
90019,3
90020,11
90021,396
90022,4007
90023,528
90024,2
90025,12
90026,6
90027,5
90028,5
90029,100
90030,1
90031,21
90032,24
90033,507
90034,9
90035,5
90036,8
90037,16
90038,5
90039,1
90040,18
90041,6
90042,3
90043,570
90044,1938
90045,150
90046,20
90047,646
90048,29
90049,5
90050,1
90051,2
90052,1
90053,3
90054,3
90055,3
90056,445
90057,14
90058,22
90059,1202
90061,602
90062,11
90063,1257
90064,22
90065,18
90066,17
90068,14
90069,8
90071,2
90073,2
90077,2
90081,2
90089,1
90095,2
90222,2
90230,1
90262,2
90304,1
91214,1
91331,1
91335,1
